"Cedente"
"Tempo (sec)","Spostamento angolare2 (deg)"
0,22.6505865804097
0.04,22.6542034748581
0.08,22.6671145805425
0.12,22.6889089241472
0.16,22.7192078206186
0.2,22.7576615391339
0.24,22.8039464118182
0.28,22.8577623148892
0.32,22.9188304648276
0.36,22.9868914824233
0.4,23.0617036857293
0.44,23.1430415795456
0.48,23.2306945143809
0.52,23.3244654921781
0.56,23.4241700996433
0.6,23.5296355529442
0.64,23.6406998399586
0.68,23.7572109482711
0.72,23.8790261687931
0.76,24.0060114662932
0.8,24.1380409093117
0.84,24.2749961529392
0.88,24.416765968791
0.92,24.5632458172402
0.96,24.7143374575897
1,24.8699485924022
1.04,25.0299925426658
1.08,25.1943879508695
1.12,25.3630585094115
1.16,25.5359327120582
1.2,25.7129436264391
1.24,25.894028685787
1.28,26.0791294983386
1.32,26.2681916729845
1.36,26.4611646599161
1.4,26.6580016051557
1.44,26.8586592179797
1.48,27.0630976503536
1.52,27.271280387601
1.56,27.4831741496122
1.6,27.6987488019829
1.64,27.917977276546
1.68,28.1408355008247
1.72,28.3673023359997
1.76,28.5973595230377
1.8,28.830991636682
1.84,29.0681860470589
1.88,29.3089328886956
1.92,29.5532250367952
1.96,29.8010580906554
2,30.0524303641604
2.04,30.3073428833177
2.08,30.565799390853
2.12,30.8278063579171
2.16,31.093373003003
2.2,31.3625113182134
2.24,31.6352361030641
2.28,31.9115650060584
2.32,32.1915185743132
2.36,32.4751203115758
2.4,32.7623967450239
2.44,33.0533775013041
2.48,33.3480953923332
2.52,33.6465865114567
2.56,33.9488903406439
2.6,34.2550498694855
2.64,34.5651117268598
2.68,34.8791263262461
2.72,35.1971480257862
2.76,35.5192353043346
2.8,35.8454509548965
2.84,36.1758622970309
2.88,36.5105414099947
2.92,36.8495653886388
2.96,37.1930166243256
3,37.5409831134401
3.04,37.8935587964096
3.08,38.2508439305504
3.12,38.6129455005111
3.16,38.979977670625
3.2,39.3520622840958
3.24,39.7293294146703
3.28,40.1119179772967
3.32,40.4999764052622
3.36,40.8936634024816
3.4,41.2931487809956
3.44,41.6986143953918
3.48,42.1102551878359
3.52,42.5282803597643
3.56,42.9529146891367
3.6,43.3844000155966
3.64,43.8229969200766
3.68,44.2689866305085
3.72,44.7226731915992
3.76,45.1843859444185
3.8,45.6544823712397
