"Compressione"
"Tempo (sec)","Distanza7 (mm)"
0,543.665352956534
0.04,544.020559725692
0.08,544.314074753822
0.12,544.548602072085
0.16,544.726630643249
0.2,544.850456726581
0.24,544.922203272393
0.28,544.943836817697
0.32,544.917182267941
0.36,544.843935881103
0.4,544.72567671558
0.44,544.563876759167
0.48,544.359909920707
0.52,544.11506003691
0.56,543.830528023003
0.6,543.507438276271
0.64,543.146844425307
0.68,542.749734504304
0.72,542.317035620431
0.76,541.849618172884
0.8,541.34829967421
0.84,540.813848217798
0.88,540.24698562965
0.92,539.648390337693
0.96,539.018699987721
1,538.358513831433
1.04,537.668394908996
1.08,536.948872045842
1.12,536.200441681126
1.16,535.423569543255
1.2,534.618692186136
1.24,533.786218398268
1.28,532.926530495432
1.32,532.039985506598
1.36,531.126916261561
1.4,530.187632387941
1.44,529.222421224343
1.48,528.231548655736
1.52,527.215259876466
1.56,526.173780085725
1.6,525.107315119779
1.64,524.016052024766
1.68,522.900159573463
1.72,521.759788729002
1.76,520.59507305817
1.8,519.406129096593
1.84,518.193056667784
1.88,516.955939157755
1.92,515.694843746621
1.96,514.409821598352
2,513.100908009611
2.04,511.768122518341
2.08,510.411468972555
2.12,509.030935559564
2.16,507.626494795603
2.2,506.198103475653
2.24,504.745702582954
2.28,503.269217157533
2.32,501.768556122757
2.36,500.243612068721
2.4,498.69426099095
2.44,497.120361982668
2.48,495.521756878493
2.52,493.898269847159
2.56,492.249706930434
2.6,490.575855525032
2.64,488.876483803865
2.68,487.151340072485
2.72,485.40015205601
2.76,483.622626111248
2.8,481.818446358001
2.84,479.987273722797
2.88,478.128744887418
2.92,476.242471133577
2.96,474.328037074023
3,472.384999259024
3.04,470.412884645732
3.08,468.41118891626
3.12,466.379374628328
3.16,464.316869180128
3.2,462.223062568423
3.24,460.097304915892
3.28,457.938903740183
3.32,455.747120933003
3.36,453.521169412694
3.4,451.260209407991
3.44,448.963344323847
3.48,446.629616132093
3.52,444.258000219971
3.56,441.847399617967
3.6,439.396638514267
3.64,436.904454946127
3.68,434.36949253765
3.72,431.790291127953
3.76,429.165276102312
3.8,426.492746199811
