"Forcellone"
"Tempo (sec)","Distanza5 (mm)"
0,-218.829519570914
0.04,-214.308144466789
0.08,-209.773729926436
0.12,-205.226272193107
0.16,-200.665765001561
0.2,-196.092199572024
0.24,-191.505564601744
0.28,-186.905846254083
0.32,-182.293028145146
0.36,-177.667091327903
0.4,-173.028014273779
0.44,-168.375772851648
0.48,-163.710340304218
0.52,-159.031687221722
0.56,-154.339781512858
0.6,-149.634588372931
0.64,-144.916070249106
0.68,-140.184186802677
0.72,-135.438894868305
0.76,-130.680148410066
0.8,-125.907898474265
0.84,-121.122093138852
0.88,-116.32267745934
0.92,-111.50959341108
0.96,-106.682779827754
1,-101.842172335916
1.04,-96.9877032854347
1.08,-92.1193016756209
1.12,-87.2368930768588
1.16,-82.3403995475553
1.2,-77.4297395461401
1.24,-72.5048278378698
1.28,-67.5655753962237
1.32,-62.6118892985509
1.36,-57.6436726156925
1.4,-52.6608242952369
1.44,-47.663239038086
1.48,-42.6508071679051
1.52,-37.6234144930802
1.56,-32.5809421607391
1.6,-27.5232665023517
1.64,-22.4502588704053
1.68,-17.3617854655814
1.72,-12.2577071538747
1.76,-7.13787927297718
1.8,-2.0021514272219
1.84,3.14963272961692
1.88,8.31763572455861
1.92,13.5020265095257
1.96,18.7029807202898
2,23.9206809513291
2.04,29.1553170477284
2.08,34.4070864153273
2.12,39.6761943505036
2.16,44.9628543910666
2.2,50.2672886898153
2.24,55.5897284125823
2.28,60.9304141626484
2.32,66.2895964336261
2.36,71.667536093163
2.4,77.0645048999615
2.44,82.4807860569369
2.48,87.9166748035667
2.52,93.3724790508446
2.56,98.8485200625862
2.6,104.345133187236
2.64,109.862668644752
2.68,115.401492373733
2.72,120.961986944405
2.76,126.544552543837
2.8,132.149608040433
2.84,137.777592135605
2.88,143.428964611468
2.92,149.10420768451
2.96,154.803827476409
3,160.528355614597
3.04,166.278350976824
3.08,172.054401595874
3.12,177.857126742747
3.16,183.687179209187
3.2,189.545247813354
3.24,195.432060155982
3.28,201.348385658227
3.32,207.295038917361
3.36,213.272883421916
3.4,219.282835674529
3.44,225.325869778711
3.48,231.403022554973
3.52,237.515399263195
3.56,243.664180021466
3.6,249.850627028215
3.64,256.076092714156
3.68,262.342028975049
3.72,268.649997666095
3.76,275.001682575746
3.8,281.398903142637
