"Molla"
"Tempo (sec)","Distanza6 (mm)"
0,312.651220712141
0.04,312.6083692321
0.08,312.525057218303
0.12,312.403186963247
0.16,312.24450767601
0.2,312.050631602858
0.24,311.823047999245
0.28,311.563135295169
0.32,311.272171733032
0.36,310.951344707284
0.4,310.601758995315
0.44,310.224444037019
0.48,309.820360394559
0.52,309.390405502745
0.56,308.935418803166
0.6,308.456186341011
0.64,307.953444891729
0.68,307.427885674927
0.72,306.880157704707
0.76,306.310870818824
0.8,305.720598423252
0.84,305.109879983895
0.88,304.479223292993
0.92,303.829106534308
0.96,303.159980168095
1,302.472268654323
1.04,301.766372030352
1.08,301.042667357373
1.12,300.301510048243
1.16,299.543235087896
1.2,298.768158156268
1.24,297.976576662556
1.28,297.168770698702
1.32,296.34500391909
1.36,295.505524352783
1.4,294.650565153887
1.44,293.780345295122
1.48,292.895070209113
1.52,291.994932381495
1.56,291.080111899499
1.6,290.15077695934
1.64,289.207084335382
1.68,288.249179813795
1.72,287.277198593128
1.76,286.291265654012
1.8,285.291496099982
1.84,284.277995471213
1.88,283.250860032797
1.92,282.210177039044
1.96,281.156024975096
2,280.088473777083
2.04,279.007585031856
2.08,277.913412157278
2.12,276.806000563904
2.16,275.685387798824
2.2,274.551603672314
2.24,273.404670367889
2.28,272.244602536255
2.32,271.071407373566
2.36,269.885084684362
2.4,268.68562692944
2.44,267.473019258885
2.48,266.247239530398
2.52,265.008258312998
2.56,263.756038876111
2.6,262.49053716399
2.64,261.211701755349
2.68,259.919473808016
2.72,258.613786988359
2.76,257.294567385143
2.8,255.961733407424
2.84,254.615195665992
2.88,253.254856837798
2.92,251.880611512718
2.96,250.49234602189
3,249.089938246796
3.04,247.673257408102
3.08,246.242163833201
3.12,244.796508701229
3.16,243.336133764213
3.2,241.860871042821
3.24,240.370542495047
3.28,238.864959655926
3.32,237.343923246197
3.36,235.807222747556
3.4,234.254635941899
3.44,232.685928411614
3.48,231.100852997673
3.52,229.499149211842
3.56,227.880542598901
3.6,226.244744044248
3.64,224.591449021657
3.68,222.9203367753
3.72,221.231069429319
3.76,219.523291017338
3.8,217.796626423219
