"Movente"
"Tempo (sec)","Spostamento angolare1 (deg)"
0,-19.8482794370836
0.04,-19.3899083115988
0.08,-18.9315078464488
0.12,-18.473048685065
0.16,-18.0145014370369
0.2,-17.5558366611277
0.24,-17.0970248482043
0.28,-16.6380364040592
0.32,-16.1788416320956
0.36,-15.719410715846
0.4,-15.2597137012978
0.44,-14.7997204789939
0.48,-14.3394007658805
0.52,-13.8787240868685
0.56,-13.4176597560789
0.6,-12.9561768577372
0.64,-12.4942442266848
0.68,-12.0318304284692
0.72,-11.5689037389791
0.76,-11.1054321235838
0.8,-10.6413832157377
0.84,-10.176724295008
0.88,-9.71142226448178
0.92,-9.24544362750572
0.96,-8.77875446371042
1,-8.31132040426809
1.04,-7.84310660632983
1.08,-7.37407772658496
1.12,-6.90419789388294
1.16,-6.43343068085302
1.2,-5.96173907445457
1.24,-5.48908544538568
1.28,-5.01543151627331
1.32,-4.54073832856355
1.36,-4.06496620802496
1.4,-3.58807472877161
1.44,-3.11002267570719
1.48,-2.63076800528321
1.52,-2.1502678044579
1.56,-1.66847824773352
1.6,-1.18535455214108
1.64,-0.700850930031596
1.68,-0.214920539522409
1.72,0.27248456756454
1.76,0.761413500448497
1.8,1.25191658700945
1.84,1.74404543448666
1.88,2.23785299347773
1.92,2.73339362547878
1.96,3.23072317422555
2,3.72989904111828
2.04,4.23098026503706
2.08,4.73402760688161
2.12,5.23910363919853
2.16,5.74627284129292
2.2,6.25560170025635
2.24,6.76715881838426
2.28,7.28101502750006
2.32,7.7972435107529
2.36,8.31591993251119
2.4,8.83712257703536
2.44,9.36093249668219
2.48,9.88743367046925
2.52,10.4167131739145
2.56,10.9488613611615
2.6,11.4839720605107
2.64,12.0221427845958
2.68,12.5634749565862
2.72,13.1080741539478
2.76,13.6560503714723
2.8,14.2075183054843
2.84,14.7625976613629
2.88,15.3214134867722
2.92,15.8840965332919
2.96,16.4507836494764
3,17.0216182087605
3.04,17.5967505760756
3.08,18.1763386175584
3.12,18.7605482583293
3.16,19.3495540940121
3.2,19.9435400624737
3.24,20.5427001832049
3.28,21.1472393728679
3.32,21.7573743468329
3.36,22.3733346180627
3.4,22.9953636065127
3.44,23.6237198743759
3.48,24.2586785050757
3.52,24.9005326469974
3.56,25.5495952466698
3.6,26.2062010006074
3.64,26.8707085604991
3.68,27.5435030331196
3.72,28.2249988245691
3.76,28.9156428886184
3.8,29.6159184515992
