"AngoloDiTrasmissione"
"Tempo (sec)","Spostamento angolare4 (deg)"
0,7.04199954070908
0.04,6.68252635206059
0.08,6.3222239878186
0.12,5.96107968086484
0.16,5.59908028378654
0.2,5.23621226381097
0.24,4.87246169726847
0.28,4.50781426358054
0.32,4.14225523876135
0.36,3.77576948842239
0.4,3.40834146026799
0.44,3.03995517606784
0.48,2.67059422309182
0.52,2.30024174499104
0.56,1.92888043210706
0.6,1.55649251119024
0.64,1.18305973450633
0.68,0.80856336830889
0.72,0.432984180652922
0.76,0.0563024285238606
0.8,-0.32150215574665
0.84,-0.700450378808198
0.88,-1.08056360139509
0.92,-1.46186375424064
0.96,-1.84437335484035
1,-2.22811552510348
1.04,-2.61311400993696
1.08,-2.99939319680766
1.12,-3.38697813633327
1.16,-3.7758945639538
1.2,-4.16616892274304
1.24,-4.55782838741963
1.28,-4.95090088962422
1.32,-5.3454151445342
1.36,-5.74140067889091
1.4,-6.13888786052206
1.44,-6.53790792944627
1.48,-6.93849303065527
1.52,-7.34067624867454
1.56,-7.74449164401237
1.6,-8.14997429161547
1.64,-8.55716032145808
1.68,-8.96608696140212
1.72,-9.37679258247674
1.76,-9.78931674673754
1.8,-10.2037002578788
1.84,-10.6199852147864
1.88,-11.0382150682349
1.92,-11.4584346809499
1.96,-11.8806903912738
2,-12.3050300806963
2.04,-12.7315032455327
2.08,-13.1601610730572
2.12,-13.5910565224278
2.16,-14.0242444107697
2.2,-14.4597815048161
2.24,-14.8977266185465
2.28,-15.3381407172995
2.32,-15.781087028889
2.36,-16.2266311622983
2.4,-16.6748412345884
2.44,-17.1257880067184
2.48,-17.5795450290495
2.52,-18.0361887973808
2.56,-18.4957989204594
2.6,-18.9584583000045
2.64,-19.4242533244013
2.68,-19.893274077348
2.72,-20.3656145628834
2.76,-20.8413729483887
2.8,-21.3206518273411
2.84,-21.8035585038113
2.88,-22.2902053009363
2.92,-22.7807098958758
2.96,-23.275195684078
3,-23.7737921760412
3.04,-24.2766354301767
3.08,-24.7838685258627
3.12,-25.2956420813324
3.16,-25.8121148216942
3.2,-26.33345420313
3.24,-26.8598371002053
3.28,-27.3914505642527
3.32,-27.9284926620096
3.36,-28.471173405122
3.4,-29.0197157828264
3.44,-29.5743569121406
3.48,-30.1353493223076
3.52,-30.7029623931287
3.56,-31.2774839703064
3.6,-31.859222185138
3.64,-32.4485075110294
3.68,-33.0456950955761
3.72,-33.6511674146747
3.76,-34.2653373046737
3.8,-34.8886514404534
