"AngoloDiTrasmissione"
"Tempo (sec)","Spostamento angolare4 (deg)"
0,23.9494369417145
0.04,23.4741585409838
0.08,22.9990413202507
0.12,22.5240506241382
0.16,22.0491519246404
0.2,21.5743107968716
0.24,21.0994928950885
0.28,20.6246639289292
0.32,20.1497896398218
0.36,19.6748357775238
0.4,19.1997680767365
0.44,18.7245522337485
0.48,18.2491538830708
0.52,17.7735385740098
0.56,17.2976717471306
0.6,16.8215187105765
0.64,16.3450446161859
0.68,15.8682144353617
0.72,15.390992934654
0.76,14.9133446509985
0.8,14.4352338665594
0.84,13.9566245831366
0.88,13.4774804960735
0.92,12.9977649676118
0.96,12.5174409996455
1,12.0364712058058
1.04,11.5548177828157
1.08,11.0724424810598
1.12,10.5893065742915
1.16,10.105370828408
1.2,9.62059546922818
1.24,9.13494014918479
1.28,8.64836391284754
1.32,8.16082516120109
1.36,7.67228161457227
1.4,7.18269027410958
1.44,6.69200738171846
1.48,6.20018837833064
1.52,5.70718786038666
1.56,5.21295953441484
1.6,4.71745616955816
1.64,4.22062954790186
1.68,3.72243041245475
1.72,3.22280841260337
1.76,2.72171204685602
1.8,2.21908860269052
1.84,1.71488409328245
1.88,1.20904319088328
1.92,0.701509156611599
1.96,0.192223766376816
2,-0.318872767356243
2.04,-0.831841878268592
2.08,-1.34674673370888
2.12,-1.86365232741093
2.16,-2.38262557780572
2.2,-2.90373543238347
2.24,-3.42705297859417
2.28,-3.95265156180856
2.32,-4.48060691093611
2.36,-5.0109972723326
2.4,-5.54390355271455
2.44,-6.07940947183065
2.48,-6.617601725767
2.52,-7.15857016183066
2.56,-7.70240796602416
2.6,-8.24921186429248
2.64,-8.79908233882137
2.68,-9.35212386077872
2.72,-9.90844514110762
2.76,-10.4681594011336
2.8,-11.0313846649244
2.84,-11.598244075633
2.88,-12.1688662382922
2.92,-12.7433855918058
2.96,-13.3219428132884
3,-13.9046852582758
3.04,-14.4917674407654
3.08,-15.0833515576299
3.12,-15.6796080625445
3.16,-16.2807162952437
3.2,-16.8868651728256
3.24,-17.4982539507622
3.28,-18.1150930623821
3.32,-18.7376050470012
3.36,-19.3660255784251
3.4,-20.0006046073926
3.44,-20.641607633824
3.48,-21.2893171273727
3.52,-21.9440341179326
3.56,-22.6060799816776
3.6,-23.2757984528267
3.64,-23.9535578969634
3.68,-24.6397538887349
3.72,-25.3348121452405
3.76,-26.0391918769226
3.8,-26.7533896309607
