"Cedente"
"Tempo (sec)","Spostamento angolare2 (deg)"
0,16.7868289839649
0.04,16.9298474709948
0.08,17.0761315704672
0.12,17.2256349634516
0.16,17.3783133488256
0.2,17.534124384835
0.24,17.6930276337923
0.28,17.8549845097848
0.32,18.0199582292697
0.36,18.1879137644372
0.4,18.3588177992383
0.44,18.5326386879774
0.48,18.7093464163748
0.52,18.8889125650174
0.56,19.0713102751191
0.6,19.2565142165144
0.64,19.4445005578253
0.68,19.6352469387386
0.72,19.8287324443378
0.76,20.0249375814428
0.8,20.2238442569166
0.84,20.4254357578934
0.88,20.6296967339028
0.92,20.8366131808601
0.96,21.0461724268961
1,21.2583631200138
1.04,21.4731752175587
1.08,21.6905999774904
1.12,21.9106299514584
1.16,22.133258979684
1.2,22.3584821876515
1.24,22.5862959846283
1.28,22.8166980640304
1.32,23.0496874056554
1.36,23.2852642798173
1.4,23.5234302534205
1.44,23.7641881980115
1.48,24.0075422998633
1.52,24.253498072151
1.56,24.5020623692778
1.6,24.7532434034312
1.64,25.0070507634505
1.68,25.2634954360938
1.72,25.5225898298094
1.76,25.7843478011263
1.8,26.0487846837817
1.84,26.3159173207279
1.88,26.5857640991702
1.92,26.8583449887949
1.96,27.1336815833765
2,27.4117971459625
2.04,27.6927166578507
2.08,27.9764668716047
2.12,28.2630763683724
2.16,28.5525756197913
2.2,28.8449970548053
2.24,29.1403751317431
2.28,29.4387464160364
2.32,29.7401496640092
2.36,30.0446259131988
2.4,30.3522185797301
2.44,30.662973563297
2.48,30.9769393603883
2.52,31.2941671864553
2.56,31.6147111077686
2.6,31.9386281838327
2.64,32.2659786213029
2.68,32.5968259404381
2.72,32.931237155276
2.76,33.2692829688363
2.8,33.611037984794
2.84,33.9565809372726
2.88,34.3059949405899
2.92,34.6593677609991
2.96,35.0167921127611
3,35.3783659811663
3.04,35.7441929754502
3.08,36.1143827149776
3.12,36.4890512525134
3.16,36.8683215389095
3.2,37.2523239341943
3.24,37.641196770761
3.28,38.0350869751699
3.32,38.4341507561264
3.36,38.8385543673459
3.4,39.2484749553908
3.44,39.6641015042636
3.48,40.0856358904952
3.52,40.5132940648163
3.56,40.9473073793978
3.6,41.3879240830814
3.64,41.8354110111977
3.68,42.2900555017528
3.72,42.7521675760581
3.76,43.2220824296624
3.8,43.7001632892125
