"Compressione"
"Tempo (sec)","Distanza7 (mm)"
0,577651.24808127
0.04,577068.23348744
0.08,576462.785101258
0.12,575835.1833958
0.16,575185.696053124
0.2,574514.578355829
0.24,573822.073557234
0.28,573108.413231133
0.32,572373.817602027
0.36,571618.495856688
0.4,570842.646437825
0.44,570046.457320576
0.48,569230.106272513
0.52,568393.761097786
0.56,567537.579865975
0.6,566661.711126201
0.64,565766.294106988
0.68,564851.458902312
0.72,563917.326644283
0.76,562964.009662815
0.8,561991.611632617
0.84,561000.22770785
0.88,559989.94464468
0.92,558960.840911979
0.96,557912.9867904
1,556846.444459975
1.04,555761.268076374
1.08,554657.50383597
1.12,553535.190029757
1.16,552394.357086162
1.2,551235.027602804
1.24,550057.216367152
1.28,548860.93036602
1.32,547646.168783864
1.36,546412.922989708
1.4,545161.176512567
1.44,543890.905005186
1.48,542602.076195848
1.52,541294.649827962
1.56,539968.577587158
1.6,538623.803015505
1.64,537260.261412414
1.68,535877.879721831
1.72,534476.576405149
1.76,533056.261299282
1.8,531616.835459283
1.84,530158.190984781
1.88,528680.210829454
1.92,527182.768592719
1.96,525665.72829265
2,524128.944119116
2.04,522572.260166001
2.08,520995.510141248
2.12,519398.517053345
2.16,517781.092872776
2.2,516143.038166769
2.24,514484.141705496
2.28,512804.180037792
2.32,511102.917034147
2.36,509380.103394587
2.4,507635.476118741
2.44,505868.75793526
2.48,504079.65668727
2.52,502267.864670285
2.56,500433.057918744
2.6,498574.895436699
2.64,496693.01836781
2.68,494787.049099387
2.72,492856.590294385
2.76,490901.223844711
2.8,488920.509738511
2.84,486913.984833048
2.88,484881.161523871
2.92,482821.526299965
2.96,480734.538173068
3,478619.626967957
3.04,476476.191458917
3.08,474303.59733544
3.12,472101.174978041
3.16,469868.217022558
3.2,467603.975688081
3.24,465307.659840154
3.28,462978.431756937
3.32,460615.403560865
3.36,458217.633272756
3.4,455784.120438677
3.44,453313.801271597
3.48,450805.543240417
3.52,448258.139027662
3.56,445670.299763099
3.6,443040.647424106
3.64,440367.706273548
3.68,437649.893181155
3.72,434885.5066443
3.76,432072.714287109
3.8,429209.538570325
