"Forcellone"
"Tempo (sec)","Distanza5 (mm)"
0,-242303.695635956
0.04,-237853.841991815
0.08,-233389.446395879
0.12,-228910.504658529
0.16,-224417.009792598
0.2,-219908.952006617
0.24,-215386.318695434
0.28,-210849.094428047
0.32,-206297.260932657
0.36,-201730.797078997
0.4,-197149.678857792
0.44,-192553.879357312
0.48,-187943.368737066
0.52,-183318.114198443
0.56,-178678.079952296
0.6,-174023.227183445
0.64,-169353.514011896
0.68,-164668.895450766
0.72,-159969.323360835
0.76,-155254.746401537
0.8,-150525.109978302
0.84,-145780.356186174
0.88,-141020.423749504
0.92,-136245.247957534
0.96,-131454.760595839
1,-126648.889873329
1.04,-121827.560344627
1.08,-116990.692827737
1.12,-112138.20431664
1.16,-107270.007888635
1.2,-102386.012606223
1.24,-97486.123413206
1.28,-92570.2410246496
1.32,-87638.2618105569
1.36,-82690.0776727721
1.4,-77725.5759147545
1.44,-72744.6391039348
1.48,-67747.1449261427
1.52,-62732.9660316206
1.56,-57701.9698722476
1.6,-52654.0185293587
1.64,-47588.9685315609
1.68,-42506.6706620303
1.72,-37406.9697545627
1.76,-32289.7044776072
1.8,-27154.7071056241
1.84,-22001.8032768418
1.88,-16830.8117364729
1.92,-11641.5440645125
1.96,-6433.80438694246
2,-1207.38906916386
2.04,4037.91360947798
2.08,9302.32380159989
2.12,14586.0704596088
2.16,19889.3917269606
2.2,25212.5353547966
2.24,30555.7591458692
2.28,35919.3314278237
2.32,41303.5315582992
2.36,46708.6504643221
2.4,52134.9912189968
2.44,57582.8696582981
2.48,63052.6150416958
2.52,68544.5707603582
2.56,74059.0950968723
2.6,79596.5620413634
2.64,85157.3621691742
2.68,90741.903585481
2.72,96350.6129434974
2.76,101983.936543304
2.8,107642.341518916
2.84,113326.317122642
2.88,119036.376116668
2.92,124773.056282598
2.96,130536.92206175
3,136328.566340257
3.04,142148.612394553
3.08,147997.716015564
3.12,153876.56783203
3.16,159785.895855952
3.2,165726.468276994
3.24,171699.096536306
3.28,177704.638714344
3.32,183744.003273224
3.36,189818.153200053
3.4,195928.110604764
3.44,202074.961835374
3.48,208259.86318378
3.52,214484.047267365
3.56,220748.830187507
3.6,227055.619583986
3.64,233405.923726168
3.68,239801.361809643
3.72,246243.675659992
3.76,252734.743086192
3.8,259276.593178147
