"Molla"
"Tempo (sec)","Distanza6 (mm)"
0,577432.390402567
0.04,576848.992429818
0.08,576243.166010213
0.12,575615.191495592
0.16,574965.336449561
0.2,574293.856038936
0.24,573600.993403804
0.28,572886.980007174
0.32,572152.035965105
0.36,571396.370358166
0.4,570620.181525007
0.44,569823.657338748
0.48,569006.975466898
0.52,568170.303615406
0.56,567313.79975742
0.6,566437.612347318
0.64,565541.880520483
0.68,564626.734279267
0.72,563692.294665596
0.76,562738.673920555
0.8,561765.97563131
0.84,560774.294865677
0.88,559763.718294607
0.92,558734.324302811
0.96,557686.183087759
1,556619.356747203
1.04,555533.899355369
1.08,554429.857027947
1.12,553307.267975931
1.16,552166.162548369
1.2,551006.563264045
1.24,549828.484832061
1.28,548631.934161266
1.32,547416.910358476
1.36,546183.404715326
1.4,544931.400683622
1.44,543660.873838999
1.48,542371.791832655
1.52,541064.114330862
1.56,539737.792941978
1.6,538392.771130584
1.64,537028.984118305
1.68,535646.358770916
1.72,534244.813471164
1.76,532824.257976752
1.8,531384.593262861
1.84,529925.711348492
1.88,528447.495105835
1.92,526949.818051849
1.96,525432.54412108
2,523895.527418675
2.04,522338.611952485
2.08,520761.631342982
2.12,519164.40850961
2.16,517546.755332105
2.2,515908.472285081
2.24,514249.34804409
2.28,512569.159061168
2.32,510867.669107656
2.36,509144.628781894
2.4,507399.774979096
2.44,505632.830320559
2.48,503843.502538888
2.52,502031.483815685
2.56,500196.450067817
2.6,498338.060177841
2.64,496455.95516371
2.68,494549.757282492
2.72,492619.069062038
2.76,490663.472253923
2.8,488682.526700342
2.84,486675.769106561
2.88,484642.711709634
2.92,482582.840833055
2.96,480495.615315533
3,478380.464800695
3.04,476236.787872913
3.08,474063.950022307
3.12,471861.281419794
3.16,469628.074480559
3.2,467363.581191056
3.24,465067.010171207
3.28,462737.523439449
3.32,460374.232843156
3.36,457976.196111396
3.4,455542.412480273
3.44,453071.817832907
3.48,450563.279286581
3.52,448015.589148337
3.56,445427.458146244
3.6,442797.507827113
3.64,440124.261991393
3.68,437406.137011165
3.72,434641.430847086
3.76,431828.310543118
3.8,428964.797931387
