"Movente"
"Tempo (sec)","Spostamento angolare1 (deg)"
0,-22.2503484347203
0.04,-21.7919773092351
0.08,-21.3335768440855
0.12,-20.8751176827014
0.16,-20.4165704346736
0.2,-19.9579056587644
0.24,-19.4990938458406
0.28,-19.0401054016959
0.32,-18.5809106297323
0.36,-18.1214797134823
0.4,-17.6617826989344
0.44,-17.2017894766306
0.48,-16.7414697635168
0.52,-16.2807930845052
0.56,-15.8197287537155
0.6,-15.3582458553735
0.64,-14.8963132243215
0.68,-14.4338994261059
0.72,-13.9709727366154
0.76,-13.5075011212205
0.8,-13.0434522133744
0.84,-12.5787932926443
0.88,-12.1134912621185
0.92,-11.6475126251424
0.96,-11.1808234613467
1,-10.7133894019048
1.04,-10.2451756039665
1.08,-9.77614672422128
1.12,-9.30626689151966
1.16,-8.83549967848972
1.2,-8.36380807209088
1.24,-7.89115444302241
1.28,-7.41750051391001
1.32,-6.94280732619989
1.36,-6.46703520566165
1.4,-5.99014372640833
1.44,-5.51209167334352
1.48,-5.03283700291993
1.52,-4.55233680209464
1.56,-4.07054724536985
1.6,-3.58742354977782
1.64,-3.10291992766832
1.68,-2.61698953715875
1.72,-2.12958443007217
1.76,-1.64065549718824
1.8,-1.15015241062686
1.84,-0.658023563150079
1.88,-0.164216004159009
1.92,0.331324627842427
1.96,0.828654176588837
2,1.32783004348152
2.04,1.82891126740072
2.08,2.33195860924489
2.12,2.83703464156178
2.16,3.34420384365655
2.2,3.8535327026196
2.24,4.36508982074751
2.28,4.87894602986365
2.32,5.39517451311722
2.36,5.91385093487445
2.4,6.43505357939862
2.44,6.95886349904647
2.48,7.48536467283251
2.52,8.01464417627773
2.56,8.54679236352583
2.6,9.08190306287396
2.64,9.620073786959
2.68,10.1614059589504
2.72,10.7060051563111
2.76,11.2539813738356
2.8,11.8054493078486
2.84,12.3605286637261
2.88,12.9193444891354
2.92,13.4820275356561
2.96,14.0487146518396
3,14.6195492111237
3.04,15.1946815784399
3.08,15.7742696199216
3.12,16.3584792606925
3.16,16.9474850963765
3.2,17.5414710648368
3.24,18.1406311855681
3.28,18.7451703752322
3.32,19.355305349196
3.36,19.9712656204259
3.4,20.5932946088771
3.44,21.2216508767391
3.48,21.8566095074389
3.52,22.4984636493618
3.56,23.1475262490329
3.6,23.8041320029705
3.64,24.4686395628635
3.68,25.1414340354827
3.72,25.8229298269322
3.76,26.5135738909829
3.8,27.2138494539622
